smiles,TADF-likeness
c1ccc(C2(c3ccccc3)c3ccccc3-c3cc(N(c4ccc(-c5ccc(-c6cccc7c6sc6ccccc67)cc5)cc4)c4ccc(-c5ccc6c(c5)oc5ccccc56)cc4)ccc32)cc1,75.80445862
N#Cc1cccc(-c2cc(-c3ccccc3)nc(-c3cc4ccc5ccccc5c4c4c3sc3ccccc34)n2)c1,79.96846008
C[Si]1(C)c2cc(N(c3ccccc3)c3cccc4c3oc3ccccc34)ccc2-c2ccc(-c3ccc(N(c4ccccc4)c4cccc5c4oc4ccccc45)cc3)c3cccc1c23,78.07407379
C1=Cc2c(ccc3c2ccc2ccccc23)/C1=C\c1ccccc1,78.93135071
C1=C(c2ccc(-c3ccncc3)cc2)CC(c2ccccc2)=C1c1ccccc1,79.9339447
c1nc2ccc(-c3ccc4c(ccc5cc(-c6ccc7ncsc7c6)ccc54)c3)cc2s1,79.8741684
c1ccc(-c2ccc(N(c3ccc(-c4cccc5c4oc4ccccc45)cc3)c3ccc4c5ccccc5n(-c5ccc6sc7ccccc7c6c5)c4c3)cc2)cc1,78.0843811
c1ccc2c(-c3nc4c(ccc5ccccc54)[nH]3)nccc2c1,75.04324341
c1cc(-c2ccc3sc(-c4ccc5ncccc5c4)nc3c2)cc(-c2ccc3sc(-c4ccc5ncccc5c4)nc3c2)c1,77.60281372
Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(C)cc5)cc4)NC(=O)c4ccccc43)cc2)cc1,75.83807373
C=C(C=CC(=C)N(C1=CC2Sc3ccccc3C2C=C1)c1cccc(-c2ccc3ccc4ccccc4c3c2)c1)C(=C)C=Cc1ccc2ccccc2c1,79.52172852
FC(F)(F)c1ccc(-c2ccc3c(c2)c2cc(-c4ccc5c(-c6ccccc6)c6cc(-c7ccc8c(c7)c7cc(-c9ccc(C(F)(F)F)cc9)ccc7n8-c7ccccc7)ccc6c(-c6ccccc6)c5c4)ccc2n3-c2ccccc2)cc1,77.95856476
Cc1nc2ccccc2n1-c1ncccc1CC(c1cccnc1)c1cccnc1,76.84089661
COc1cc(C)cc(N(CCO[Si](C)(C)C(C)(C)C)c2ccc3ncn(-c4ccccc4)c(=O)c3c2)c1,76.62699127
c1ccc2c(-c3ccc(-c4c5ccccc5c(-c5ccc(-c6ccc7oc8ccc9ccccc9c8c7c6)cc5)c5ccccc45)cc3)cccc2c1,77.54507446
c1csc(Cn2c3ccccc3c3cc(-c4nccc5c6ccccc6n(Cc6cccs6)c45)ncc32)c1,79.10595703
O=C1C=CC=CC1=CNc1ccc2nc(-c3ccc(-c4nc(-c5ccccc5)c5cc(NC=C6C=CC=CC6=O)ccc5n4)cc3)nc(-c3ccccc3)c2c1,75.85463715
c1ccc(C(c2ccccc2)c2ccc(Sc3ccc(C(c4ccccc4)c4ccccc4)cc3)cc2)cc1,79.3285675
Cn1ccnc1-c1cccc(Oc2ccc3c4cc(C(C)(C)C)cc5c4n(c3c2)-c2ncccc2C5(C)C)c1,78.3166275
